id	commune_name_ascii	commune_name	daira_code	daira_name_ascii	daira_name	wilaya_code	wilaya_name_ascii	wilaya_name
44	Harchoun	حرشون	204	El Karimia	الكريمية	02	Chlef	 الشلف
40	Dahra	الظهرة	206	Taougrit	تاوقريت	02	Chlef	 الشلف
61	Taougrit	تاوقريت	206	Taougrit	تاوقريت	02	Chlef	 الشلف
33	Beni Haoua	بني حواء	207	Beni Haoua	بني حواء	02	Chlef	 الشلف
37	Breira	بريرة	207	Beni Haoua	بني حواء	02	Chlef	 الشلف
49	Oued Goussine	وادي قوسين	207	Beni Haoua	بني حواء	02	Chlef	 الشلف
38	Chettia	الشطية	210	Ouled Fares	أولاد فارس	02	Chlef	 الشلف
46	Labiod Medjadja	الأبيض مجاجة	210	Ouled Fares	أولاد فارس	02	Chlef	 الشلف
53	Ouled Fares	أولاد فارس	210	Ouled Fares	أولاد فارس	02	Chlef	 الشلف
35	Boukadir	بوقادير	212	Boukadir	بوقادير	02	Chlef	 الشلف
50	Oued Sly	وادي سلي	212	Boukadir	بوقادير	02	Chlef	 الشلف
58	Sobha	الصبحة	212	Boukadir	بوقادير	02	Chlef	 الشلف
31	Benairia	بنايرية	220	Zeboudja	الزبوجة	02	Chlef	 الشلف
36	Bouzeghaia	بوزغاية	220	Zeboudja	الزبوجة	02	Chlef	 الشلف
63	Zeboudja	الزبوجة	220	Zeboudja	الزبوجة	02	Chlef	 الشلف
29	Abou El Hassane	أبو الحسن	222	Abou El Hassane	أبو الحسن	02	Chlef	 الشلف
59	Tadjena	تاجنة	222	Abou El Hassane	أبو الحسن	02	Chlef	 الشلف
60	Talassa	تلعصة	222	Abou El Hassane	أبو الحسن	02	Chlef	 الشلف
43	El Marsa	المرسى	223	El Marsa	المرسى	02	Chlef	 الشلف
47	Moussadek	مصدق	223	El Marsa	المرسى	02	Chlef	 الشلف
34	Beni Rached	بني راشد	229	Oued Fodda	وادي الفضة	02	Chlef	 الشلف
48	Oued Fodda	وادي الفضة	229	Oued Fodda	وادي الفضة	02	Chlef	 الشلف
51	Ouled Abbes	أولاد عباس	229	Oued Fodda	وادي الفضة	02	Chlef	 الشلف
41	El Hadjadj	الحجاج	230	Ouled Ben Abdelkader	أولاد بن عبد القادر	02	Chlef	 الشلف
52	Ouled Ben Abdelkader	أولاد بن عبد القادر	230	Ouled Ben Abdelkader	أولاد بن عبد القادر	02	Chlef	 الشلف
30	Ain Merane	عين مران	232	Ain Merane	عين مران	02	Chlef	 الشلف
45	Herenfa	الهرانفة	232	Ain Merane	عين مران	02	Chlef	 الشلف
79	Laghouat	الأغواط	301	Laghouat	الأغواط	03	Laghouat	الأغواط
68	Benacer Benchohra	بن ناصر بن شهرة	302	Ksar El Hirane	قصر الحيران	03	Laghouat	الأغواط
78	Ksar El Hirane	قصر الحيران	302	Ksar El Hirane	قصر الحيران	03	Laghouat	الأغواط
70	El Assafia	العسافية	304	Sidi Makhlouf	سيدي مخلوف	03	Laghouat	الأغواط
84	Sidi Makhlouf	سيدي مخلوف	304	Sidi Makhlouf	سيدي مخلوف	03	Laghouat	الأغواط
75	Hassi Delaa	حاسي الدلاعة	306	Hassi R'mel	حاسي الرمل	03	Laghouat	الأغواط
76	Hassi R'mel	حاسي الرمل	306	Hassi R'mel	حاسي الرمل	03	Laghouat	الأغواط
65	Ain Madhi	عين ماضي	307	Ain Madhi	عين ماضي	03	Laghouat	الأغواط
72	El Haouaita	الحويطة	307	Ain Madhi	عين ماضي	03	Laghouat	الأغواط
77	Kheneg	الخنق	307	Ain Madhi	عين ماضي	03	Laghouat	الأغواط
85	Tadjemout	تاجموت	307	Ain Madhi	عين ماضي	03	Laghouat	الأغواط
86	Tadjrouna	تاجرونة	307	Ain Madhi	عين ماضي	03	Laghouat	الأغواط
66	Ain Sidi Ali	عين سيدي علي	310	Gueltat Sidi Saad	قتلة سيدي سعيد	03	Laghouat	الأغواط
67	El Beidha	البيضاء	310	Gueltat Sidi Saad	قتلة سيدي سعيد	03	Laghouat	الأغواط
73	Gueltat Sidi Saad	قلتة سيدي سعد	310	Gueltat Sidi Saad	قتلة سيدي سعيد	03	Laghouat	الأغواط
69	Brida	بريدة	313	Brida	بريدة	03	Laghouat	الأغواط
74	Hadj Mechri	الحاج مشري	313	Brida	بريدة	03	Laghouat	الأغواط
87	Taouiala	تاويالة	313	Brida	بريدة	03	Laghouat	الأغواط
71	El Ghicha	الغيشة	314	El Ghicha	الغيشة	03	Laghouat	الأغواط
64	Aflou	أفلو	319	Aflou	أفلو	03	Laghouat	الأغواط
82	Sebgag	سبقاق	319	Aflou	أفلو	03	Laghouat	الأغواط
83	Sidi Bouzid	سيدي بوزيد	319	Aflou	أفلو	03	Laghouat	الأغواط
80	Oued Morra	وادي مرة	321	Oued Morra	وادي مرة	03	Laghouat	الأغواط
81	Oued M'zi	وادي مزي	321	Oued Morra	وادي مرة	03	Laghouat	الأغواط
94	Ain Zitoun	عين الزيتون	401	Oum El Bouaghi	أم البواقي	04	Oum El Bouaghi	أم البواقي
112	Oum El Bouaghi	أم البواقي	401	Oum El Bouaghi	أم البواقي	04	Oum El Bouaghi	أم البواقي
89	Ain Beida	عين البيضاء	402	Ain Beida	عين البيضاء	04	Oum El Bouaghi	أم البواقي
96	Berriche	بريش	402	Ain Beida	عين البيضاء	04	Oum El Bouaghi	أم البواقي
116	Zorg	الزرق	402	Ain Beida	عين البيضاء	04	Oum El Bouaghi	أم البواقي
93	Ain M'lila	عين مليلة	403	Ain M'lila	عين مليلة	04	Oum El Bouaghi	أم البواقي
109	Ouled Gacem	أولاد قاسم	403	Ain M'lila	عين مليلة	04	Oum El Bouaghi	أم البواقي
110	Ouled Hamla	أولاد حملة	403	Ain M'lila	عين مليلة	04	Oum El Bouaghi	أم البواقي
99	El Amiria	العامرية	406	Sigus	سيقوس	04	Oum El Bouaghi	أم البواقي
114	Sigus	سيقوس	406	Sigus	سيقوس	04	Oum El Bouaghi	أم البواقي
88	Ain Babouche	عين ببوش	408	Ain Babouche	عين ببوش	04	Oum El Bouaghi	أم البواقي
90	Ain Diss	عين الديس	408	Ain Babouche	عين ببوش	04	Oum El Bouaghi	أم البواقي
98	Dhalaa	الضلعة	411	Dhalaa	الضلعة	04	Oum El Bouaghi	أم البواقي
101	El Djazia	الجازية	411	Dhalaa	الضلعة	04	Oum El Bouaghi	أم البواقي
92	Ain Kercha	عين كرشة	412	Ain Kercha	عين كرشة	04	Oum El Bouaghi	أم البواقي
103	El Harmilia	الحرملية	412	Ain Kercha	عين كرشة	04	Oum El Bouaghi	أم البواقي
105	Hanchir Toumghani	هنشير تومغني	412	Ain Kercha	عين كرشة	04	Oum El Bouaghi	أم البواقي
104	Fkirina	فكيرينة	416	F'kirina	فكيرينة	04	Oum El Bouaghi	أم البواقي
108	Oued Nini	وادي نيني	416	F'kirina	فكيرينة	04	Oum El Bouaghi	أم البواقي
97	Bir Chouhada	بئر الشهداء	417	Souk Naamane	سوق نعمان	04	Oum El Bouaghi	أم البواقي
111	Ouled Zouai	أولاد زواي	417	Souk Naamane	سوق نعمان	04	Oum El Bouaghi	أم البواقي
115	Souk Naamane	سوق نعمان	417	Souk Naamane	سوق نعمان	04	Oum El Bouaghi	أم البواقي
106	Ksar Sbahi	قصر الصباحي	422	Ksar Sbahi	قصر الصباحي	04	Oum El Bouaghi	أم البواقي
95	Behir Chergui	بحير الشرقي	424	Meskiana	مسكيانة	04	Oum El Bouaghi	أم البواقي
100	El Belala	البلالة	424	Meskiana	مسكيانة	04	Oum El Bouaghi	أم البواقي
107	Meskiana	مسكيانة	424	Meskiana	مسكيانة	04	Oum El Bouaghi	أم البواقي
113	Rahia	الرحية	424	Meskiana	مسكيانة	04	Oum El Bouaghi	أم البواقي
91	Ain Fekroun	عين فكرون	425	Ain Fekroun	عين فكرون	04	Oum El Bouaghi	أم البواقي
102	El Fedjoudj Boughrara Sa	الفجوج بوغرارة سعودي	425	Ain Fekroun	عين فكرون	04	Oum El Bouaghi	أم البواقي
123	Batna	باتنة	501	Batna	باتنة	05	Batna	باتنة
136	Fesdis	فسديس	501	Batna	باتنة	05	Batna	باتنة
154	Oued Chaaba	وادي الشعبة	501	Batna	باتنة	05	Batna	باتنة
141	Hidoussa	حيدوسة	504	Merouana	مروانة	05	Batna	باتنة
145	Ksar Bellezma	قصر بلزمة	504	Merouana	مروانة	05	Batna	باتنة
152	Merouana	مروانة	504	Merouana	مروانة	05	Batna	باتنة
155	Oued El Ma	وادي الماء	504	Merouana	مروانة	05	Batna	باتنة
147	Lazrou	لازرو	505	Seriana	سريانة	05	Batna	باتنة
167	Seriana	سريانة	505	Seriana	سريانة	05	Batna	باتنة
177	Zanet El Beida	زانة البيضاء	505	Seriana	سريانة	05	Batna	باتنة
151	Menaa	منعة	506	Menaa	منعة	05	Batna	باتنة
174	Tigharghar	تغرغار	506	Menaa	منعة	05	Batna	باتنة
119	Ain Yagout	عين ياقوت	507	El Madher	المعذر	05	Batna	باتنة
128	Boumia	بومية	507	El Madher	المعذر	05	Batna	باتنة
132	Djerma	جرمة	507	El Madher	المعذر	05	Batna	باتنة
135	El Madher	المعذر	507	El Madher	المعذر	05	Batna	باتنة
162	Ouyoun El Assafir	عيون العصافير	508	Tazoult	تازولت	05	Batna	باتنة
171	Tazoult	تازولت	508	Tazoult	تازولت	05	Batna	باتنة
127	Boumagueur	بومقر	509	N'gaous	نقاوس	05	Batna	باتنة
153	N Gaous	نقاوس	509	N'gaous	نقاوس	05	Batna	باتنة
165	Sefiane	سفيان	509	N'gaous	نقاوس	05	Batna	باتنة
120	Arris	أريس	516	Arris	أريس	05	Batna	باتنة
173	Tighanimine	تيغانمين	516	Arris	أريس	05	Batna	باتنة
117	Ain Djasser	عين جاسر	519	Ain Djasser	عين جاسر	05	Batna	باتنة
134	El Hassi	الحاسي	519	Ain Djasser	عين جاسر	05	Batna	باتنة
166	Seggana	سقانة	529	Seggana	سقانة	05	Batna	باتنة
175	Tilatou	تيلاطو	529	Seggana	سقانة	05	Batna	باتنة
137	Foum Toub	فم الطوب	530	Ichemoul	إشمول	05	Batna	باتنة
142	Ichemoul	إشمول	530	Ichemoul	إشمول	05	Batna	باتنة
143	Inoughissen	إينوغيسن	530	Ichemoul	إشمول	05	Batna	باتنة
129	Bouzina	بوزينة	535	Bouzina	بوزينة	05	Batna	باتنة
146	Larbaa	لارباع	535	Bouzina	بوزينة	05	Batna	باتنة
126	Boulhilat	بولهيلات	536	Chemora	الشمرة	05	Batna	باتنة
130	Chemora	الشمرة	536	Chemora	الشمرة	05	Batna	باتنة
122	Barika	بريكة	542	Barika	بريكة	05	Batna	باتنة
125	Bitam	بيطام	542	Barika	بريكة	05	Batna	باتنة
149	M Doukal	إمدوكل	542	Barika	بريكة	05	Batna	باتنة
121	Azil Abedelkader	عزيل عبد القادر	543	Djezzar	الجزار	05	Batna	باتنة
133	Djezzar	الجزار	543	Djezzar	الجزار	05	Batna	باتنة
157	Ouled Ammar	أولاد عمار	543	Djezzar	الجزار	05	Batna	باتنة
138	Ghassira	غسيرة	544	Tkout	تكوت	05	Batna	باتنة
144	Kimmel	كيمل	544	Tkout	تكوت	05	Batna	باتنة
168	T Kout	تكوت	544	Tkout	تكوت	05	Batna	باتنة
118	Ain Touta	عين التوتة	545	Ain Touta	عين التوتة	05	Batna	باتنة
124	Beni Foudhala El Hakania	بني فضالة الحقانية	545	Ain Touta	عين التوتة	05	Batna	باتنة
150	Maafa	معافة	545	Ain Touta	عين التوتة	05	Batna	باتنة
158	Ouled Fadel	أولاد فاضل	545	Ain Touta	عين التوتة	05	Batna	باتنة
131	Chir	شير	547	Theniet El Abed	ثنية العابد	05	Batna	باتنة
156	Oued Taga	وادي الطاقة	547	Theniet El Abed	ثنية العابد	05	Batna	باتنة
172	Teniet El Abed	ثنية العابد	547	Theniet El Abed	ثنية العابد	05	Batna	باتنة
159	Ouled Sellem	أولاد سلام	551	Ras El Aioun	رأس العيون	05	Batna	باتنة
163	Rahbat	الرحبات	551	Ras El Aioun	رأس العيون	05	Batna	باتنة
164	Ras El Aioun	رأس العيون	551	Ras El Aioun	رأس العيون	05	Batna	باتنة
169	Talkhamt	تالخمت	551	Ras El Aioun	رأس العيون	05	Batna	باتنة
148	Lemcene	لمسان	553	Ouled Si Slimane	أولاد سي سليمان	05	Batna	باتنة
161	Ouled Si Slimane	أولاد سي سليمان	553	Ouled Si Slimane	أولاد سي سليمان	05	Batna	باتنة
170	Taxlent	تاكسلانت	553	Ouled Si Slimane	أولاد سي سليمان	05	Batna	باتنة
187	Bejaia	بجاية	601	Bejaia	بجاية	06	Béjaïa	 بجاية
210	Oued Ghir	وادي غير	601	Bejaia	بجاية	06	Béjaïa	 بجاية
184	Amizour	أميزور	602	Amizour	أميزور	06	Béjaïa	 بجاية
188	Beni Djellil	بني جليل	602	Amizour	أميزور	06	Béjaïa	 بجاية
202	Feraoun	فرعون	602	Amizour	أميزور	06	Béjaïa	 بجاية
214	Smaoun	سمعون	602	Amizour	أميزور	06	Béjaïa	 بجاية
226	Timezrit	تيمزريت	607	Timezrit	تيمزريت	06	Béjaïa	 بجاية
209	Melbou	مالبو	608	Souk El Tenine	سوق الإثنين	06	Béjaïa	 بجاية
215	Souk El Tenine	سوق لإثنين	608	Souk El Tenine	سوق الإثنين	06	Béjaïa	 بجاية
219	Tamridjet	تامريجت	608	Souk El Tenine	سوق الإثنين	06	Béjaïa	 بجاية
194	Boukhelifa	بوخليفة	611	Tichy	تيشي	06	Béjaïa	 بجاية
217	Tala Hamza	تالة حمزة	611	Tichy	تيشي	06	Béjaïa	 بجاية
224	Tichy	تيشي	611	Tichy	تيشي	06	Béjaïa	 بجاية
179	Ait R'zine	أيت رزين	617	Ighil Ali	إغيل علي	06	Béjaïa	 بجاية
204	Ighil-Ali	إغيل علي	617	Ighil Ali	إغيل علي	06	Béjaïa	 بجاية
180	Ait-Smail	أيت إسماعيل	620	Darguina	درقينة	06	Béjaïa	 بجاية
197	Darguina	درقينة	620	Darguina	درقينة	06	Béjaïa	 بجاية
221	Taskriout	تاسكريوت	620	Darguina	درقينة	06	Béjaïa	 بجاية
185	Aokas	أوقاس	622	Aokas	أوقاس	06	Béjaïa	 بجاية
228	Tizi-N'berber	تيزي نبربر	622	Aokas	أوقاس	06	Béjaïa	 بجاية
178	Adekar	أدكار	624	Adekar	أدكار	06	Béjaïa	 بجاية
189	Beni K'sila	بني كسيلة	624	Adekar	أدكار	06	Béjaïa	 بجاية
220	Taourit Ighil	تاوريرت إغيل	624	Adekar	أدكار	06	Béjaïa	 بجاية
181	Akbou	أقبو	625	Akbou	أقبو	06	Béjaïa	 بجاية
195	Chellata	شلاطة	625	Akbou	أقبو	06	Béjaïa	 بجاية
205	Ighram	اغرم	625	Akbou	أقبو	06	Béjaïa	 بجاية
218	Tamokra	تامقرة	625	Akbou	أقبو	06	Béjaïa	 بجاية
183	Amalou	أمالو	626	Seddouk	صدوق	06	Béjaïa	 بجاية
193	Bouhamza	بوحمزة	626	Seddouk	صدوق	06	Béjaïa	 بجاية
208	M'cisna	مسيسنة	626	Seddouk	صدوق	06	Béjaïa	 بجاية
211	Seddouk	صدوق	626	Seddouk	صدوق	06	Béjaïa	 بجاية
190	Beni-Mallikeche	بني مليكش	627	Tazmalt	تازملت	06	Béjaïa	 بجاية
192	Boudjellil	بو جليل	627	Tazmalt	تازملت	06	Béjaïa	 بجاية
222	Tazmalt	تازمالت	627	Tazmalt	تازملت	06	Béjaïa	 بجاية
182	Akfadou	أكفادو	629	Chemini	شميني	06	Béjaïa	 بجاية
196	Chemini	شميني	629	Chemini	شميني	06	Béjaïa	 بجاية
216	Souk Oufella	سوق اوفلا	629	Chemini	شميني	06	Béjaïa	 بجاية
223	Tibane	طيبان	629	Chemini	شميني	06	Béjaïa	 بجاية
186	Barbacha	برباشة	634	Barbacha	برباشة	06	Béjaïa	 بجاية
206	Kendira	كنديرة	634	Barbacha	برباشة	06	Béjaïa	 بجاية
203	Ouzellaguen	أوزلاقن	636	Ifri Ouzellaguene	إفري أوزلاقن	06	Béjaïa	 بجاية
199	Leflaye	الفلاي	639	Sidi Aich	سيدي عيش	06	Béjaïa	 بجاية
212	Sidi Ayad	سيدي عياد	639	Sidi Aich	سيدي عيش	06	Béjaïa	 بجاية
213	Sidi-Aich	سيدي عيش	639	Sidi Aich	سيدي عيش	06	Béjaïa	 بجاية
225	Tifra	تيفرة	639	Sidi Aich	سيدي عيش	06	Béjaïa	 بجاية
227	Tinebdar	تينبدار	639	Sidi Aich	سيدي عيش	06	Béjaïa	 بجاية
200	El Kseur	القصر	640	El Kseur	القصر	06	Béjaïa	 بجاية
201	Fenaia Il Maten	فناية الماثن	640	El Kseur	القصر	06	Béjaïa	 بجاية
229	Toudja	توجة	640	El Kseur	القصر	06	Béjaïa	 بجاية
198	Dra El Caid	ذراع القايد	644	Kherrata	خراطة	06	Béjaïa	 بجاية
207	Kherrata	خراطة	644	Kherrata	خراطة	06	Béjaïa	 بجاية
191	Benimaouche	بني معوش	650	Beni Maouche	بني معوش	06	Béjaïa	 بجاية
233	Biskra	بسكرة	701	Biskra	بسكرة	07	Biskra	بسكرة
243	El Hadjab	الحاجب	701	Biskra	بسكرة	07	Biskra	بسكرة
230	Ain Naga	عين الناقة	711	Sidi Okba	سيدي عقبة	07	Biskra	بسكرة
238	Chetma	شتمة	711	Sidi Okba	سيدي عقبة	07	Biskra	بسكرة
244	El Haouch	الحوش	711	Sidi Okba	سيدي عقبة	07	Biskra	بسكرة
260	Sidi Okba	سيدي عقبة	711	Sidi Okba	سيدي عقبة	07	Biskra	بسكرة
251	M'chouneche	مشونش	712	Mechouneche	مشونش	07	Biskra	بسكرة
241	El Feidh	الفيض	715	Zeribet El Oued	زريبة الوادي	07	Biskra	بسكرة
248	Khenguet Sidi Nadji	خنقة سيدي ناجي	715	Zeribet El Oued	زريبة الوادي	07	Biskra	بسكرة
253	Meziraa	المزيرعة	715	Zeribet El Oued	زريبة الوادي	07	Biskra	بسكرة
262	Zeribet El Oued	زريبة الوادي	715	Zeribet El Oued	زريبة الوادي	07	Biskra	بسكرة
231	Ain Zaatout	عين زعطوط	717	El Kantara	القنطرة	07	Biskra	بسكرة
245	El Kantara	القنطرة	717	El Kantara	القنطرة	07	Biskra	بسكرة
246	El Outaya	الوطاية	719	El Outaya	الوطاية	07	Biskra	بسكرة
236	Branis	برانيس	720	Djemorah	جمورة	07	Biskra	بسكرة
239	Djemorah	جمورة	720	Djemorah	جمورة	07	Biskra	بسكرة
234	Bordj Ben Azzouz	برج بن عزوز	721	Tolga	طولقة	07	Biskra	بسكرة
235	Bouchakroun	بوشقرون	721	Tolga	طولقة	07	Biskra	بسكرة
249	Lichana	ليشانة	721	Tolga	طولقة	07	Biskra	بسكرة
261	Tolga	طولقة	721	Tolga	طولقة	07	Biskra	بسكرة
250	Lioua	ليوة	724	Ourlal	أورلال	07	Biskra	بسكرة
252	Mekhadma	مخادمة	724	Ourlal	أورلال	07	Biskra	بسكرة
254	M'lili	مليلي	724	Ourlal	أورلال	07	Biskra	بسكرة
256	Oumache	أوماش	724	Ourlal	أورلال	07	Biskra	بسكرة
257	Ourlal	أورلال	724	Ourlal	أورلال	07	Biskra	بسكرة
242	El Ghrous	الغروس	726	Foughala	فوغالة	07	Biskra	بسكرة
247	Foughala	فوغالة	726	Foughala	فوغالة	07	Biskra	بسكرة
264	Bechar	بشار	801	Bechar	بشار	08	Béchar	بشار
268	Boukais	بوكايس	806	Lahmar	لحمر	08	Béchar	بشار
275	Lahmar	لحمر	806	Lahmar	لحمر	08	Béchar	بشار
278	Mogheul	موغل	806	Lahmar	لحمر	08	Béchar	بشار
272	Kenadsa	القنادسة	810	Kenadsa	القنادسة	08	Béchar	بشار
277	Meridja	المريجة	810	Kenadsa	القنادسة	08	Béchar	بشار
280	Tabelbala	تبلبالة	812	Tabelbala	تبلبالة	08	Béchar	بشار
281	Taghit	تاغيت	813	Taghit	تاغيت	08	Béchar	بشار
263	Abadla	العبادلة	817	Abadla	العبادلة	08	Béchar	بشار
270	Erg-Ferradj	عرق فراج	817	Abadla	العبادلة	08	Béchar	بشار
276	Machraa-Houari-Boumediene	مشرع هواري بومدين	817	Abadla	العبادلة	08	Béchar	بشار
267	Beni-Ounif	بني ونيف	821	Beni Ounif	بني ونيف	08	Béchar	بشار
288	Blida	البليدة	901	Blida	البليدة	09	Blida	البليدة
289	Bouarfa	بوعرفة	901	Blida	البليدة	09	Blida	البليدة
292	Bouinan	بوعينان	903	Bouinan	بوعينان	09	Blida	البليدة
293	Chebli	الشبلي	903	Bouinan	بوعينان	09	Blida	البليدة
286	Beni-Tamou	بني تامو	904	Oued El Alleug	وادي العلايق	09	Blida	البليدة
287	Benkhelil	بن خليل	904	Oued El Alleug	وادي العلايق	09	Blida	البليدة
304	Oued El Alleug	وادي العلايق	904	Oued El Alleug	وادي العلايق	09	Blida	البليدة
285	Beni Mered	بني مراد	905	Ouled Yaich	أولاد يعيش	09	Blida	البليدة
295	Chrea	الشريعة	905	Ouled Yaich	أولاد يعيش	09	Blida	البليدة
306	Ouled Yaich	أولاد يعيش	905	Ouled Yaich	أولاد يعيش	09	Blida	البليدة
297	El-Affroun	العفرون	907	El Affroun	العفرون	09	Blida	البليدة
303	Oued  Djer	وادي جر	907	El Affroun	العفرون	09	Blida	البليدة
284	Ain Romana	عين الرمانة	912	Mouzaia	موزاية	09	Blida	البليدة
294	Chiffa	الشفة	912	Mouzaia	موزاية	09	Blida	البليدة
302	Mouzaia	موزاية	912	Mouzaia	موزاية	09	Blida	البليدة
296	Djebabra	جبابرة	914	Meftah	مفتاح	09	Blida	البليدة
301	Meftah	مفتاح	914	Meftah	مفتاح	09	Blida	البليدة
290	Boufarik	بوفاريك	916	Boufarik	بوفاريك	09	Blida	البليدة
298	Guerrouaou	قرواو	916	Boufarik	بوفاريك	09	Blida	البليدة
308	Soumaa	الصومعة	916	Boufarik	بوفاريك	09	Blida	البليدة
300	Larbaa	الأربعاء	917	Larbaa	الأربعاء	09	Blida	البليدة
307	Souhane	صوحان	917	Larbaa	الأربعاء	09	Blida	البليدة
291	Bougara	بوقرة	922	Bougara	بوقرة	09	Blida	البليدة
299	Hammam Elouane	حمام ملوان	922	Bougara	بوقرة	09	Blida	البليدة
305	Ouled Slama	اولاد سلامة	922	Bougara	بوقرة	09	Blida	البليدة
313	Ain Turk	عين الترك	1001	Bouira	البويرة	10	Bouira	البويرة
315	Ait Laaziz	أيت لعزيز	1001	Bouira	البويرة	10	Bouira	البويرة
321	Bouira	البويرة	1001	Bouira	البويرة	10	Bouira	البويرة
332	El-Mokrani	المقراني	1004	Souk El Khemis	سوق الخميس	10	Bouira	البويرة
348	Souk El Khemis	سوق الخميس	1004	Souk El Khemis	سوق الخميس	10	Bouira	البويرة
316	Aomar	أعمر	1005	Kadiria	القادرية	10	Bouira	البويرة
326	Djebahia	جباحية	1005	Kadiria	القادرية	10	Bouira	البويرة
337	Kadiria	قادرية	1005	Kadiria	القادرية	10	Bouira	البويرة
335	Haizer	حيزر	1012	Haizer	الحيزر	10	Bouira	البويرة
350	Taghzout	تاغزوت	1012	Haizer	الحيزر	10	Bouira	البويرة
320	Bouderbala	بودربالة	1013	Lakhdaria	الأخضرية	10	Bouira	البويرة
322	Boukram	بوكرم	1013	Lakhdaria	الأخضرية	10	Bouira	البويرة
333	Guerrouma	قرومة	1013	Lakhdaria	الأخضرية	10	Bouira	البويرة
338	Lakhdaria	الأخضرية	1013	Lakhdaria	الأخضرية	10	Bouira	البويرة
340	Maala	معلة	1013	Lakhdaria	الأخضرية	10	Bouira	البويرة
353	Z'barbar (El Isseri )	زبربر	1013	Lakhdaria	الأخضرية	10	Bouira	البويرة
319	Bordj Okhriss	برج أوخريص	1018	Bordj Okhriss	برج أوخريص	10	Bouira	البويرة
334	Hadjera Zerga	الحجرة الزرقاء	1018	Bordj Okhriss	برج أوخريص	10	Bouira	البويرة
342	Mezdour	مزدور	1018	Bordj Okhriss	برج أوخريص	10	Bouira	البويرة
351	Taguedite	تاقديت	1018	Bordj Okhriss	برج أوخريص	10	Bouira	البويرة
310	Ahl El Ksar	أهل القصر	1033	Bechloul	بشلول	10	Bouira	البويرة
317	Bechloul	بشلول	1033	Bechloul	بشلول	10	Bouira	البويرة
327	El Adjiba	العجيبة	1033	Bechloul	بشلول	10	Bouira	البويرة
328	El Asnam	الأسنام	1033	Bechloul	بشلول	10	Bouira	البويرة
344	Ouled Rached	أولاد راشد	1033	Bechloul	بشلول	10	Bouira	البويرة
311	Ain El Hadjar	عين الحجر	1035	Ain Bessem	عين بسام	10	Bouira	البويرة
312	Ain Laloui	عين العلوي	1035	Ain Bessem	عين بسام	10	Bouira	البويرة
314	Ain-Bessem	عين بسام	1035	Ain Bessem	عين بسام	10	Bouira	البويرة
318	Bir Ghbalou	بئر غبالو	1036	Bir Ghbalou	بئر غبالو	10	Bouira	البويرة
330	El Khabouzia	الخبوزية	1036	Bir Ghbalou	بئر غبالو	10	Bouira	البويرة
345	Raouraoua	روراوة	1036	Bir Ghbalou	بئر غبالو	10	Bouira	البويرة
309	Aghbalou	أغبالو	1037	M'chedallah	مشد الله	10	Bouira	البويرة
323	Chorfa	شرفة	1037	M'chedallah	مشد الله	10	Bouira	البويرة
336	Hanif	حنيف	1037	M'chedallah	مشد الله	10	Bouira	البويرة
339	M Chedallah	أمشدالة	1037	M'chedallah	مشد الله	10	Bouira	البويرة
347	Saharidj	سحاريج	1037	M'chedallah	مشد الله	10	Bouira	البويرة
352	Ath Mansour	آث  منصور	1037	M'chedallah	مشد الله	10	Bouira	البويرة
